POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarTree,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,AveElev,DistTrans,Data_set,Stable_lek,PT_Type
LEK,LEK,1.715456963,56.99648285,21.45932007,7.752212048,2.711780548,6.622982025,0,1285.855957,48,2.164176758,8.903442383,0.505416351,2.050940186,16.13967514,20.27611542,24.12056923,10.02846909,3.0538764,5.566383362,2.383111715,558.6814575,25.65175819,0.346244514,773.2678223,2.200147949,A,0,1
LEK,LEK,2.192378283,44.66524506,25.54990387,12.25755692,2.215640306,10.51662827,3,2922.730957,27,5.296671875,1.768682129,0.386448639,2.307378174,8.408153534,19.74165535,22.28181648,11.96925354,3.977405071,8.537233353,1.894504309,565.6682739,25.48713112,0.684841096,787.0616455,4.101510254,A,0,1
LEK,LEK,2.542448282,70.63825226,6.805515766,4.766503811,4.165796757,5.427134037,18,1663.651855,23,11.7125332,2.035724731,0.008537518,2.13037793,23.0886097,6.628637791,14.35233212,4.435374737,3.080164194,2.710056305,3.189844847,494.9447937,25.81077957,0.052836496,879.0056763,2.010011597,A,0,1
LEK,LEK,3.003751755,68.14778137,7.435512066,4.971302986,4.984993458,5.716942787,12,1663.681885,9,11.84679004,1.997861938,0.683959656,3.637158203,26.10644531,6.332765579,13.6569519,4.467817783,3.384015083,2.520699024,3.822931051,492.8999023,25.85580254,0.047170505,869.9373169,2.145823242,A,0,1
STABLE,LEK,1.466879129,65.84765625,16.12623978,4.629093647,2.727332592,5.104388237,0,1447.875244,8,5.999303223,7.902321289,1.578411621,3.08065332,16.91625595,15.35813522,17.83613586,6.645042419,2.73306942,5.174939156,1.711085916,529.2733765,25.77754211,0.155740783,772.9419556,6.94771582,A,1,1
LEK,LEK,2.28155303,71.03159332,13.37825012,4.459150314,2.810263872,3.824612379,0,167.3822784,6,10.72079883,7.602344238,3.456412598,2.506261963,26.69635773,9.406775475,12.31678772,5.25002861,2.378548145,2.552250385,1.608079553,568.6713257,25.72068787,0.037617099,741.3724365,6.193961914,A,0,1
STABLE,LEK,2.467913389,50.10760498,22.53144646,10.43611336,2.13618803,9.327334404,2,2206.677734,5,7.444044434,3.053919434,0.469613007,4.774812012,10.63494492,17.69176674,23.41259003,11.68966579,4.362945557,8.248807907,1.757980466,565.8293457,25.51555252,0.576731563,780.6220703,3.694075439,A,1,1
LEK,LEK,3.599268436,44.53863144,20.30208778,14.56211853,2.915836811,10.78380489,2,2625.367676,3,4.559495605,4.491730957,1.403443726,1.370284546,13.11928082,14.10268116,22.61483383,11.77694798,5.878332615,6.369804382,2.895367861,630.8063965,25.9375,0.335266262,659.9520874,5.041153809,O,0,1
LEK,LEK,1.963959694,74.25006104,7.745837212,5.469060421,2.68389225,5.029834747,20,2629.361816,1,2.838055664,1.168295532,0.404643158,4.678091797,12.49900246,8.887248039,19.05885315,8.162403107,3.09382844,3.595770836,1.707410812,543.848999,25.75163841,0.15421094,844.3214722,0.864513062,A,0,1
LEK,LEK,6.262588024,60.62526703,9.127603531,6.131449223,8.299370766,7.475971699,19,1225.560425,0,13.3784043,0.845093018,0.578844055,34.19089844,20.60429955,5.864449024,15.22255421,4.881550312,9.126184464,3.241679192,7.988961697,600.5324097,26.25628662,0.041668165,732.0933838,16.12593262,A,0,1
