POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit
LEK,1.715456963,56.99648285,21.45932007,2.711780548,6.622982025,7.752212048,25.65175819,558.6814575,0.346244514,0,48,1285.855957,2164.176758,2050.940186,2200.147949,505.4163513,8903.442383,16.13967514,24.12056923,2.383111715,10.02846909,20.27611542,5.566383362
LEK,2.192378283,44.66524506,25.54990387,2.215640306,10.51662827,12.25755692,25.48713112,565.6682739,0.684841096,3,27,2922.730957,5296.671875,2307.378174,4101.510254,386.4486389,1768.682129,8.408153534,22.28181648,1.894504309,11.96925354,19.74165535,8.537233353
LEK,2.542448282,70.63825226,6.805515766,4.165796757,5.427134037,4.766503811,25.81077957,494.9447937,0.052836496,18,23,1663.651855,11712.5332,2130.37793,2010.011597,8.537517548,2035.724731,23.0886097,14.35233212,3.189844847,4.435374737,6.628637791,2.710056305
LEK,3.003751755,68.14778137,7.435512066,4.984993458,5.716942787,4.971302986,25.85580254,492.8999023,0.047170505,12,9,1663.681885,11846.79004,3637.158203,2145.823242,683.9596558,1997.861938,26.10644531,13.6569519,3.822931051,4.467817783,6.332765579,2.520699024
LEK,1.466879129,65.84765625,16.12623978,2.727332592,5.104388237,4.629093647,25.77754211,529.2733765,0.155740783,0,8,1447.875244,5999.303223,3080.65332,6947.71582,1578.411621,7902.321289,16.91625595,17.83613586,1.711085916,6.645042419,15.35813522,5.174939156
LEK,2.28155303,71.03159332,13.37825012,2.810263872,3.824612379,4.459150314,25.72068787,568.6713257,0.037617099,0,6,167.3822784,10720.79883,2506.261963,6193.961914,3456.412598,7602.344238,26.69635773,12.31678772,1.608079553,5.25002861,9.406775475,2.552250385
LEK,2.467913389,50.10760498,22.53144646,2.13618803,9.327334404,10.43611336,25.51555252,565.8293457,0.576731563,2,5,2206.677734,7444.044434,4774.812012,3694.075439,469.6130066,3053.919434,10.63494492,23.41259003,1.757980466,11.68966579,17.69176674,8.248807907
LEK,3.599268436,44.53863144,20.30208778,2.915836811,10.78380489,14.56211853,25.9375,630.8063965,0.335266262,2,3,2625.367676,4559.495605,1370.284546,5041.153809,1403.443726,4491.730957,13.11928082,22.61483383,2.895367861,11.77694798,14.10268116,6.369804382
LEK,1.963959694,74.25006104,7.745837212,2.68389225,5.029834747,5.469060421,25.75163841,543.848999,0.15421094,20,1,2629.361816,2838.055664,4678.091797,864.5130615,404.643158,1168.295532,12.49900246,19.05885315,1.707410812,8.162403107,8.887248039,3.595770836
LEK,6.262588024,60.62526703,9.127603531,8.299370766,7.475971699,6.131449223,26.25628662,600.5324097,0.041668165,19,0,1225.560425,13378.4043,34190.89844,16125.93262,578.8440552,845.0930176,20.60429955,15.22255421,7.988961697,4.881550312,5.864449024,3.241679192
LEK,9.927900314,54.47118378,4.941957474,16.13820076,8.054112434,5.266508579,26.13357735,630.7285767,0.020048469,5,0,912.8458252,10647.52344,11673.83398,12484.74316,120.15271,1379.942017,21.66238594,18.62962914,16.03409576,5.168755531,4.324107647,3.426507473
LEK,9.512886047,52.32130814,4.796855927,19.19519043,8.111458778,4.993061066,26.09933853,630.2254028,0.019528236,3,0,849.1871948,9672.237305,10693.55078,11571.6582,15.63723278,2371.225342,20.71721268,19.18217087,17.98831749,5.017072201,4.282667637,3.399637938
LEK,8.128646851,47.40841293,5.136488914,26.4375515,7.807762623,4.427651405,25.94516373,627.9484253,0.056311805,7,0,906.9418335,4898.869629,5912.416016,7954.479492,69.9358139,1310.845703,21.596035,19.88954926,21.47167015,4.747326851,6.839312553,3.364516258
LEK,5.786437511,48.06761551,9.636569023,4.619690895,12.15845299,16.69208145,25.84440994,625.4046631,0.192294955,6,0,1635.92041,2607.105469,26752.73242,2616.197998,241.7541809,4066.825928,6.860392094,24.87861633,3.548716545,12.90136242,8.547576904,4.626722336
LEK,4.220839977,69.59170532,6.793348789,6.215903759,5.257632732,5.102488995,26.07009697,579.8820801,0.03196089,24,0,2096.85083,6483.942871,30285.54688,10113.76074,760.4802856,772.0982056,16.64377403,15.45223522,7.316503525,4.809749126,6.488985062,2.031131744
LEK,2.683760643,75.14595032,5.353022575,3.065150976,5.404464245,5.63877821,26.00440407,579.2362061,0.096684709,5,0,2496.64624,2164.929688,29896.61328,9680.30957,704.6196899,2636.424561,13.34696674,14.88512516,2.336282253,7.417844772,5.6525383,3.497749805
LEK,2.717666626,74.3804245,5.408582687,3.049627304,5.722161293,6.206313133,25.9922924,579.9074097,0.121268034,2,0,2514.904785,3088.498535,31448.91797,11201.55078,349.7413635,1126.827148,12.51010418,16.48492622,2.481354237,8.081224442,6.165252209,3.744889021
LEK,4.036980629,70.81555939,7.03069973,4.216618061,6.048677444,4.996032238,26.2546978,580.7376099,0.049411152,0,0,1429.088135,2196.955811,19341.40234,7466.525879,701.3521118,5675.364746,22.07696533,12.58749008,3.573294878,3.888288498,6.320580482,2.342960596
LEK,3.095803499,72.13381958,6.602296352,2.888813734,5.987277985,6.782732964,26.02983665,579.942688,0.153652191,3,0,2164.562256,1132.734619,31225.85352,11443.33398,276.7666016,1749.388306,15.82151699,18.97265434,2.094973564,9.293881416,7.412293911,4.202263832
