POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,DistTrans
LEK,1.466879129,65.84765625,16.12623978,4.629093647,2.727332592,5.104388237,0,1447.875244,8,5.999303223,7.902321289,1.578411621,3.08065332,16.91625595,15.35813522,17.83613586,6.645042419,5.174939156,1.711085916,529.2733765,25.77754211,0.155740783,6.94771582
LEK,2.467913389,50.10760498,22.53144646,10.43611336,2.13618803,9.327334404,2,2206.677734,5,7.444044434,3.053919434,0.469613007,4.774812012,10.63494492,17.69176674,23.41259003,11.68966579,8.248807907,1.757980466,565.8293457,25.51555252,0.576731563,3.694075439
LEK,2.717666626,74.3804245,5.408582687,6.206313133,3.049627304,5.722161293,2,2514.904785,0,3.088498535,1.126827148,0.349741364,31.44891797,12.51010418,6.165252209,16.48492622,8.081224442,3.744889021,2.481354237,579.9074097,25.9922924,0.121268034,11.20155078
LEK,3.095803499,72.13381958,6.602296352,6.782732964,2.888813734,5.987277985,3,2164.562256,0,1.132734619,1.749388306,0.276766602,31.22585352,15.82151699,7.412293911,18.97265434,9.293881416,4.202263832,2.094973564,579.942688,26.02983665,0.153652191,11.44333398
LEK,2.774703026,73.78250122,5.695006371,6.587862968,2.87374115,5.906885624,3,2410.295654,0,2.752145752,0.706220276,0.483796417,32.91826563,13.56892586,6.51330328,17.73552132,8.837418556,3.834624052,1.981775999,580.5780029,25.98867607,0.151008964,12.80198438
LEK,2.615676165,73.9683609,6.072494507,5.783052444,3.593702078,5.623809338,4,2125.532959,0,1.231079468,2.292602783,0.400488098,34.86620703,11.41486454,5.95271349,16.43464851,7.902786255,3.552621603,4.291088104,580.8399048,25.94915962,0.122643173,15.17870605
LEK,2.687465429,73.6654892,6.109427929,5.645247459,3.8489182,5.599390507,4,2090.572021,0,1.095264526,1.895338257,0.509110107,35.18886328,11.61020851,5.783516884,16.18650818,7.721148491,3.45188427,4.942121983,580.8056641,25.9426899,0.109530531,15.27942578
LEK,2.926001072,70.38463593,7.637095451,6.43148756,3.884150028,5.969845772,6,2206.535645,0,1.566705933,0.956869568,0.092825043,34.09180859,11.18850327,6.379599094,17.42939186,7.81691885,3.30698204,4.070550919,580.9963379,25.94357872,0.156283975,13.14706738
LEK,2.755192518,77.0007019,5.673436642,4.230186462,2.843013287,4.961242199,0,2276.474854,0,2.28636792,5.738453613,0.150831574,21.41571484,12.74950695,6.001448631,11.52565575,3.953613281,1.964002967,1.965622187,591.4814453,26.14095497,0.084117413,3.820532471
LEK,2.424407482,77.19411469,6.321015835,4.047408104,2.658119678,4.799337864,2,1914.57251,0,2.670079834,3.327245605,0.506448395,22.49397656,15.85844326,5.622567177,12.03612518,4.552597046,2.160218,2.19927907,587.0028076,26.13008881,0.058881428,3.547049561
LEK,2.655956984,75.85761261,7.12740612,4.192011356,2.677404404,4.864667892,2,1771.937866,0,0.741450867,1.817441284,0.172625732,23.62298828,16.64767075,6.446002483,13.58611298,4.959785938,2.391628504,2.138287783,584.8699341,26.11581802,0.069705449,3.770086914
LEK,2.881742954,75.88020325,6.902917862,3.942324162,2.908709764,4.779423237,2,1679.72876,0,1.990985229,1.762413818,1.123329468,22.05427539,18.1126976,5.788754463,12.36415958,4.388897419,2.069705963,2.574134111,585.8583984,26.16703987,0.054840546,2.390901367
LEK,2.34466362,71.44168854,7.830150604,5.969018459,3.251708984,6.175500393,2,2516.175781,0,8.532855469,1.710363647,0.483789276,36.00841797,18.035923,7.601449013,17.19315338,7.117938042,4.058173656,2.495289564,575.5290527,25.94182968,0.149056047,7.76842334
