POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,AveElev,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit,Data_set,Stable_lek,PT_Type
STABLE,LEK,1.466879129,65.84765625,16.12623978,2.727332592,5.104388237,4.629093647,25.77754211,529.2733765,0.155740783,772.9419556,0,8,1447.875244,5999.303223,3080.65332,6947.71582,1578.411621,7902.321289,16.91625595,17.83613586,1.711085916,6.645042419,15.35813522,5.174939156,A,1,1
STABLE,LEK,2.467913389,50.10760498,22.53144646,2.13618803,9.327334404,10.43611336,25.51555252,565.8293457,0.576731563,780.6220703,2,5,2206.677734,7444.044434,4774.812012,3694.075439,469.6130066,3053.919434,10.63494492,23.41259003,1.757980466,11.68966579,17.69176674,8.248807907,A,1,1
STABLE,LEK,2.717666626,74.3804245,5.408582687,3.049627304,5.722161293,6.206313133,25.9922924,579.9074097,0.121268034,743.6769409,2,0,2514.904785,3088.498535,31448.91797,11201.55078,349.7413635,1126.827148,12.51010418,16.48492622,2.481354237,8.081224442,6.165252209,3.744889021,A,1,1
STABLE,LEK,3.095803499,72.13381958,6.602296352,2.888813734,5.987277985,6.782732964,26.02983665,579.942688,0.153652191,736.4542847,3,0,2164.562256,1132.734619,31225.85352,11443.33398,276.7666016,1749.388306,15.82151699,18.97265434,2.094973564,9.293881416,7.412293911,4.202263832,A,1,1
STABLE,LEK,2.774703026,73.78250122,5.695006371,2.87374115,5.906885624,6.587862968,25.98867607,580.5780029,0.151008964,744.7918701,3,0,2410.295654,2752.145752,32918.26563,12801.98438,483.7964172,706.2202759,13.56892586,17.73552132,1.981775999,8.837418556,6.51330328,3.834624052,A,1,1
STABLE,LEK,2.615676165,73.9683609,6.072494507,3.593702078,5.623809338,5.783052444,25.94915962,580.8399048,0.122643173,751.9091797,4,0,2125.532959,1231.079468,34866.20703,15178.70605,400.4880981,2292.602783,11.41486454,16.43464851,4.291088104,7.902786255,5.95271349,3.552621603,A,1,1
STABLE,LEK,2.687465429,73.6654892,6.109427929,3.8489182,5.599390507,5.645247459,25.9426899,580.8056641,0.109530531,752.2207642,4,0,2090.572021,1095.264526,35188.86328,15279.42578,509.1101074,1895.338257,11.61020851,16.18650818,4.942121983,7.721148491,5.783516884,3.45188427,A,1,1
STABLE,LEK,2.926001072,70.38463593,7.637095451,3.884150028,5.969845772,6.43148756,25.94357872,580.9963379,0.156283975,755.6697998,6,0,2206.535645,1566.705933,34091.80859,13147.06738,92.82504272,956.8695679,11.18850327,17.42939186,4.070550919,7.81691885,6.379599094,3.30698204,A,1,1
STABLE,LEK,2.755192518,77.0007019,5.673436642,2.843013287,4.961242199,4.230186462,26.14095497,591.4814453,0.084117413,721.9017944,0,0,2276.474854,2286.36792,21415.71484,3820.532471,150.8315735,5738.453613,12.74950695,11.52565575,1.965622187,3.953613281,6.001448631,1.964002967,A,1,1
STABLE,LEK,2.424407482,77.19411469,6.321015835,2.658119678,4.799337864,4.047408104,26.13008881,587.0028076,0.058881428,732.5064697,2,0,1914.57251,2670.079834,22493.97656,3547.049561,506.4483948,3327.245605,15.85844326,12.03612518,2.19927907,4.552597046,5.622567177,2.160218,A,1,1
